,county,district_num,dist_name,dist_type,school_num,school_name,instruct_type,charter_type,aea,magnet_status,school_enrollment,zipcode,school_type,pcent_econ_disadv,pcent_esl,rating,X,Y
448,atascosa_county,7904,lytle_isd,independent,7904103,lytle_primary_school,regular_instructional,,n,n,374,78052,elementary,78.2,16.1,c,-98.80088544,29.23533069
449,bexar_county,15907,san_antonio_isd,independent,15907142,m_l_king_academy,regular_instructional,campus_charter,n,n,222,78220,elementary,94.3,1.9,c,-98.421048,29.41349651
450,bexar_county,15910,north_east_isd,independent,15910002,macarthur_h_s,regular_instructional,,n,y,2055,78217,high_school,59.9,14.9,b,-98.44161619,29.5280328
451,bexar_county,15907,san_antonio_isd,independent,15907148,madison_el,regular_instructional,,n,n,442,78228,elementary,91.6,18.8,b,-98.55161207,29.45644987
452,bexar_county,15910,north_east_isd,independent,15910005,madison_h_s,regular_instructional,,n,y,2850,78247,high_school,58.8,8.0,c,-98.39049709,29.58048403
453,bexar_county,15907,san_antonio_isd,independent,15907149,margil_el,regular_instructional,,n,n,436,78207,elementary,98.0,28.9,b,-98.51381165,29.43307357
454,guadalupe_county,94904,marion_isd,independent,94904003,marion_alternative_center,daep_instructional,,n,n,10,78124,high_school,100.0,0.0,not_rated,-97.63597021,29.26755719
455,guadalupe_county,94904,marion_isd,independent,94904001,marion_h_s,regular_instructional,,n,n,456,78124,high_school,36.5,3.1,a,-98.14060828,29.56736545
456,guadalupe_county,94904,marion_isd,independent,94904041,marion_middle,regular_instructional,,n,n,372,78124,middle_school,40.8,7.7,b,-98.1391598,29.56624858
457,bexar_county,15907,san_antonio_isd,independent,15907163,mark_twain_dual_language_academy,regular_instructional,campus_charter,n,n,608,78212,elementary,58.3,46.6,a,-98.49932798,29.457234
458,bexar_county,15915,northside_isd,independent,15915003,marshall_h_s,regular_instructional,,n,n,2634,78240,high_school,46.9,8.3,c,-98.62026693,29.51417481
459,bexar_county,15915,northside_isd,independent,15915189,martin_el,regular_instructional,,n,n,518,78228,elementary,93.2,23.1,c,-98.60145858,29.44762771
460,bexar_county,15916,judson_isd,independent,15916115,mary_lou_hartman,regular_instructional,,n,n,797,78218,elementary,81.2,33.3,b,-98.36425659,29.49751077
